"";"Country";"VAT";"SKU";"Active";"VISIBILITY";"ID store";"Supplier";"Manufacturer";"Tax rules ID";"VAT + "" "" + Country + "" "" + """""" + C2 +""%""""";"BASE PRICE"
"";"";"";"SHIPPING-CZ-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"CZECH REP (0-10KG)";"17"
"";"";"";"SHIPPING-GB-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"U.K. (0-10KG)";"20"
"";"";"";"SHIPPING-PL-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"POLAND (0-10KG)";"17"
"";"";"";"SHIPPING-LU-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"LUXEMBOURG (0-10KG)";"15"
"";"";"";"SHIPPING-LT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"LITHUANIA (0-10KG)";"20"
"";"";"";"SHIPPING-LV-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"LATVIA (0-10KG)";"23"
"";"";"";"SHIPPING-IE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"IRELAND (0-10KG)";"23"
"";"";"";"SHIPPING-HU-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"HUNGARY (0-10KG)";"20"
"";"";"";"SHIPPING-NL-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"HOLLAND (0-10KG)";"15"
"";"";"";"SHIPPING-GR-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"GREECE (0-10KG)";"37"
"";"";"";"SHIPPING-DE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"GERMANY (0-10KG)";"16"
"";"";"";"SHIPPING-FR-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"FRANCE (0-10KG)";"15"
"";"";"";"SHIPPING-FI-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"FINLAND (0-10KG)";"32"
"";"";"";"SHIPPING-EE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"ESTONIA (0-10KG)";"23"
"";"";"";"SHIPPING-ES-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"SPAIN ( CONTINENTAL ) (0-10KG)";"15"
"";"";"";"SHIPPING-SI-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"SLOVENIA (0-10KG)";"20"
"";"";"";"SHIPPING-SK-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"SLOVAKIA (0-10KG)";"20"
"";"";"";"SHIPPING-DK-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"DENMARK (0-10KG)";"20"
"";"";"";"SHIPPING-HR-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"CROATIA (0-10KG)";"23"
"";"";"";"SHIPPING-BG-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"BULGARIA (0-10KG)";"32"
"";"";"";"SHIPPING-BE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"BELGIUM (0-10KG)";"15"
"";"";"";"SHIPPING-AT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"AUSTRIA (0-10KG)";"15"
"";"";"";"SHIPPING-PT-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"PORTUGAL (10-30KG)";"15"
"";"";"";"SHIPPING-PT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"PORTUGAL (0-10KG)";"10"
"";"";"";"SHIPPING-IT-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"ITALY (10-30KG)";"32"
"";"";"";"SHIPPING-IT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"ITALY (0-10KG)";"23"
