id;Logo;Name;Addresses;Products;Enabled;Shop;ShortDescription
;https://www.all-stars-distribution.com/img/m/62.jpg;PracWorks;;;1;3;Pracworks Carbon was founded in 2013 with the aim to engineer and manufacture the ultimate carbon fiber products at great prices that combines form, function and aesthetics all in one package for car enthusiasts all the way up to professional race teams. All products are manufactured utilizing state of the art CNC Machines and skilled craftsmen hand laying every single Carbon Fiber Layer to ensure the highest quality is achieved.
;;PRO SERIES;;;0;3;
;https://www.all-stars-distribution.com/img/m/20.jpg;Prosport;;;1;3;Propsport is a Taiwanese company with more than 25 years of experience in the manufacture of gauges for measuring multiple parameters, such as the oil or turbo pressure. Offering a wide and innovate range, Prosport is positioned mid-range despite their high-quality manufacturing !
;https://www.all-stars-distribution.com/img/m/21.jpg;Racingline;;;1;3;RacingLine has been developing high quality performance upgrades for over two decades alongside their 'works' motorsport programmes – now firmly established as the brand of choice for enthusiast VW Group owners around the world. Their wide range of Performance Upgrades was born directly from those decades of factory motorsport experience, the toughest development lab of them all. Today RacingLine prides itself on delivering high quality and smart engineering upgrades for its Performance Parts and Software offerings for all modern Volkswagen, Audi, Cupra and Skoda models.
;;REMUS;;;0;3;
;https://www.all-stars-distribution.com/img/m/23.jpg;Scorpion;;;1;3;British manufacturer Scorpion Exhausts is one of the pioneers of the sport exhausts market for original vehicles with a backround of nearly 30 years ! Producing 100% of it's products in their Ripley factories in England, this family business offers a wide range of products, all handmade with the best type of stainless steel available in the market. Manufacturer of exhausts for international brands such as Revo, Prodrive or Mazdaspeed, Scorpion has clearly become a reference in the sport exhaust field !<br><br>With a real ability to adapt, Scorpion Exhausts evolves over the years  in order to adapt to the market, offering products at the forefront of technology and fashion !
;;Shipping;;;0;3;
;;Sonic Tools;;;0;3;
;;SuperTech;;;0;3;
;https://www.all-stars-distribution.com/img/m/61.jpg;Tein;;;1;3;TEIN, the globally renowned company standing for 'Technical Innovation,' has firmly established itself as a leader in the realm of aftermarket suspensions. With its inception in Yokohama, Japan, in 1985, TEIN embarked on a journey of continual refinement, guided by three fundamental principles: Safety, Affordability and Quality. This unwavering commitment to excellence has solidified TEIN's prominent position in the industry, making it an indispensable force of innovation.
;;THE Tuner;;;0;3;
;https://www.all-stars-distribution.com/img/m/25.jpg;The Turbo Engineers;;;1;3;The Turbo Engineers is a German company based in the Munich area and specializes in the modification of original turbos for a significant power gain. Offering a relatively wide range, TTE is currently the leading brand in the hybrid turbo market, mainly thanks to a very strong media exposure proving the effectiveness of their products. 
;https://www.all-stars-distribution.com/img/m/36.jpg;TurboSmart;;;1;3;Founded in 1997 in Nic Cooper's garage in Sydney, Australia, Turbosmart has over the years become one of the leading companies in the performance turbo accessories market. Offering a wide range of products from wastegates and dump valves to pressure gauges and regulators, Turbosmart combines innovation, efficiency and reliability !
;https://www.all-stars-distribution.com/img/m/46.jpg;Ultra Racing;;;0;3;"Ultra Racing, established in 2002, is Malaysia's most popular and successful chassis bracing and tuning company.
Prized for their unique one-piece hollow tube design across their line of products from strut bracing to inner fender bars, these are one of the strongest and most rigid parts you can fit to improve safety and vehicle handling."
;https://www.all-stars-distribution.com/img/m/40.jpg;VHT;;;1;3;VHT is a division of the American Dupli-Color® group, a Sherwin-Williams brand. This group constitutes the leading company in the industry of consumables and accessories for specialized surface coatings for the automotive market, offering a wide and qualitative range of products.
;;Wagner Tuning;;;0;3;
;https://www.all-stars-distribution.com/img/m/28.jpg;Whiteline;;;1;3;The Australian manufacturer Whiteline offers a very wide range of accessories for the optimization of the suspension of vehicles for both road and competition use. With high-quality manufacturing, the brand's products are renowned all over the world and are a sure value for the most demanding drivers !
;https://www.all-stars-distribution.com/img/m/60.jpg;By All Stars;;;1;3;This name includes many accessories manufactured by various entities around the world as well as products transformed by All Stars Motorsport teams. It is not a brand striclty speaking but a set of unbranded items identified under the same name.
